agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,
1,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:00;0711:00;0721:00;,421.00;431.00;441.00;,10.00;10.00;
2,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:00;0711:00;0721:00;,421.00;431.02;441.02;,10.02;10.00;
3,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:00;0711:01;0721:01;,421.02;431.03;441.03;,10.02;10.00;
4,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:00;0711:01;0721:01;,421.02;431.03;441.03;,10.02;10.00;
5,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:01;0711:02;0721:02;,421.03;431.05;441.05;,10.02;10.00;
6,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:01;0711:04;0721:04;,421.03;431.07;441.07;,10.03;10.00;
7,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:02;0711:04;0721:04;,421.05;431.07;441.07;,10.02;10.00;
8,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:02;0711:05;0721:05;,421.05;431.08;441.08;,10.03;10.00;
9,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:04;0711:06;0721:06;,421.07;431.10;441.10;,10.03;10.00;
10,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:04;0711:07;0721:07;,421.07;431.12;441.12;,10.05;10.00;
11,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:05;0711:07;0721:07;,421.08;431.12;441.12;,10.03;10.00;
12,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:05;0711:07;0721:07;,421.08;431.13;441.13;,10.05;10.00;
13,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:06;0711:08;0721:08;,421.10;431.15;441.15;,10.05;10.00;
14,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:06;0711:09;0721:09;,421.10;431.17;441.17;,10.07;10.00;
15,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:07;0711:10;0721:10;,421.12;431.18;441.18;,10.07;10.00;
16,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:07;0711:12;0721:12;,421.12;431.20;441.20;,10.08;10.00;
17,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:07;0711:12;0721:13;,421.13;431.20;441.22;,10.07;10.02;
18,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:07;0711:13;0721:13;,421.13;431.22;441.22;,10.08;10.00;
19,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:08;0711:14;0721:14;,421.15;431.23;441.23;,10.08;10.00;
20,1,2,0,1,2,p,AM,1,0.0,48.1367,20.0000,1;3;2;,1;2;,0701:08;0711:15;0721:15;,421.15;431.25;441.25;,10.10;10.00;
