node_id,zone_id,x_coord,y_coord,original_node_id
86100,665,-111.95221,33.42617,861
86101,665,-111.95232,33.42617,861
52005,411,-111.95232,33.4256,520
52006,411,-111.95235,33.42553,520
188700,1439,-111.95376,33.42552,1887
188701,1439,-111.95376,33.42546,1887
52007,411,-111.95235,33.42546,520
52100,412,-111.88302,33.41479,521
219000,1639,-111.88302,33.41483,2190
219001,1639,-111.88309,33.41483,2190
52101,412,-111.88309,33.41479,521
52102,412,-111.88309,33.41464,521
53300,420,-111.88323,33.41131,533
53301,420,-111.88316,33.41131,533
52103,412,-111.88302,33.41464,521
52200,413,-111.91865,33.41848,522
195800,1476,-111.91865,33.41888,1958
195801,1476,-111.91872,33.41888,1958
52201,413,-111.91872,33.41848,522
52202,413,-111.91872,33.41833,522
269800,2020,-111.91882,33.41675,2698
269801,2020,-111.91874,33.41675,2698
52203,413,-111.91864,33.41834,522
52204,413,-111.9186,33.41837,522
131900,1022,-111.91783,33.41837,1319
131901,1022,-111.9178,33.41844,1319
52205,413,-111.9186,33.41844,522
52206,413,-111.91877,33.41844,522
76100,587,-111.92046,33.41874,761
76101,587,-111.92048,33.41868,761
52207,413,-111.91877,33.41837,522
52300,414,-111.90576,33.41744,523
52500,416,-111.90577,33.41614,525
52501,416,-111.90569,33.41614,525
52301,414,-111.90569,33.41744,523
52302,414,-111.90564,33.41748,523
243000,1813,-111.90551,33.41748,2430
243001,1813,-111.90551,33.41754,2430
52303,414,-111.90564,33.41754,523
52304,414,-111.90581,33.41754,523
272200,2033,-111.90612,33.41754,2722
272201,2033,-111.90612,33.41747,2722
52305,414,-111.90581,33.41748,523
52402,415,-111.90971,33.40008,524
315800,2361,-111.90972,33.39965,3158
315801,2361,-111.90964,33.39965,3158
52403,415,-111.90964,33.40007,524
52404,415,-111.90976,33.40018,524
52800,417,-111.91061,33.39994,528
52801,417,-111.91058,33.39988,528
52405,415,-111.90976,33.40011,524
52406,415,-111.90964,33.40022,524
120300,948,-111.91075,33.40083,1203
120301,948,-111.91073,33.40077,1203
52407,415,-111.90971,33.40022,524
52600,-1,-111.97832,33.40929,526
106000,-1,-111.97819,33.40929,1060
106001,-1,-111.97819,33.40939,1060
52601,-1,-111.97832,33.40938,526
52602,-1,-111.97834,33.40921,526
52700,-1,-111.90929,33.38415,527
162000,1246,-111.90929,33.38402,1620
162001,1246,-111.9091,33.38402,1620
52701,-1,-111.9091,33.38414,527
52702,-1,-111.90912,33.38444,527
110600,-1,-111.90912,33.38445,1106
52802,417,-111.91076,33.39988,528
53000,418,-111.91154,33.39964,530
53001,418,-111.91152,33.39958,530
52803,417,-111.91073,33.39982,528
52804,417,-111.91067,33.3998,528
316200,2364,-111.91015,33.39941,3162
316201,2364,-111.91012,33.39946,3162
52805,417,-111.9106,33.39982,528
52806,417,-111.91067,33.39996,528
120302,948,-111.91078,33.40071,1203
120303,948,-111.91086,33.40071,1203
52807,417,-111.91074,33.39993,528
52900,-1,-111.90926,33.38519,529
115500,-1,-111.90917,33.38518,1155
52901,-1,-111.90927,33.38506,529
52703,-1,-111.90923,33.38441,527
53002,418,-111.91171,33.39959,530
53400,421,-111.91266,33.39933,534
53401,421,-111.91264,33.39927,534
53003,418,-111.91168,33.39953,530
53004,418,-111.91162,33.39951,530
289902,2150,-111.91138,33.39891,2899
289903,2150,-111.91131,33.39893,2899
53005,418,-111.91155,33.39953,530
53100,419,-111.95548,33.37877,531
281800,2105,-111.95548,33.37943,2818
281801,2105,-111.95548,33.37949,2818
53101,419,-111.95548,33.37871,531
53102,419,-111.95543,33.37867,531
62000,488,-111.95543,33.37829,620
62001,488,-111.95536,33.37829,620
53103,419,-111.95535,33.37867,531
53202,-1,-111.95207,33.42185,532
273300,-1,-111.95105,33.42185,2733
273301,-1,-111.95105,33.42198,2733
53203,-1,-111.95207,33.42198,532
53204,-1,-111.95228,33.42181,532
53500,422,-111.95227,33.42123,535
53501,422,-111.95216,33.42123,535
53205,-1,-111.95216,33.42181,532
53206,-1,-111.95216,33.42202,532
295702,2204,-111.95217,33.42314,2957
295703,2204,-111.95228,33.42314,2957
53207,-1,-111.95228,33.42202,532
53402,421,-111.91282,33.39928,534
53602,423,-111.91329,33.39919,536
53603,423,-111.91327,33.39913,536
53403,421,-111.9128,33.39922,534
53404,421,-111.91272,33.39935,534
135602,1054,-111.91288,33.40008,1356
135603,1054,-111.91296,33.40007,1356
53405,421,-111.91279,33.39933,534
53502,422,-111.9523,33.42115,535
189600,1444,-111.95436,33.42116,1896
189601,1444,-111.95436,33.4211,1896
53503,422,-111.9523,33.42109,535
53504,422,-111.95227,33.42101,535
53700,424,-111.95226,33.42086,537
53701,424,-111.95215,33.42086,537
53505,422,-111.95215,33.42102,535
53604,423,-111.91345,33.39917,536
53900,426,-111.91607,33.39913,539
53901,426,-111.91609,33.39906,539
53605,423,-111.91344,33.39911,536
53702,424,-111.95212,33.42072,537
76500,591,-111.95005,33.42072,765
76501,591,-111.95005,33.42078,765
53703,424,-111.95212,33.42079,537
53704,424,-111.95226,33.42065,537
167100,1292,-111.95226,33.42052,1671
167101,1292,-111.95215,33.42052,1671
53705,424,-111.95215,33.42065,537
53800,425,-111.89275,33.41999,538
54000,427,-111.8922,33.41999,540
54001,427,-111.8922,33.42006,540
53801,425,-111.89275,33.42005,538
53802,425,-111.89287,33.41995,538
293900,2187,-111.89288,33.41972,2939
293901,2187,-111.8928,33.41972,2939
53803,425,-111.8928,33.41995,538
53804,425,-111.8928,33.42009,538
153700,1179,-111.89247,33.42069,1537
153701,1179,-111.89252,33.42074,1537
53805,425,-111.89287,33.42009,538
53902,426,-111.91624,33.39915,539
54100,428,-111.91673,33.39925,541
54101,428,-111.91675,33.39919,541
53903,426,-111.91626,33.39909,539
53904,426,-111.91622,33.39905,539
136200,1060,-111.91636,33.39842,1362
136201,1060,-111.91628,33.39841,1362
53905,426,-111.91615,33.39903,539
53906,426,-111.91611,33.39917,539
274900,2053,-111.91535,33.40096,2749
274901,2053,-111.91543,33.40096,2749
53907,426,-111.91618,33.39919,539
103800,-1,-111.89156,33.39184,1038
54400,-1,-111.94643,33.42186,544
82600,637,-111.94589,33.42187,826
54401,-1,-111.9467,33.42196,544
297500,2219,-111.94714,33.42196,2975
297501,2219,-111.94714,33.42184,2975
54402,-1,-111.9467,33.42184,544
54500,-1,-111.94811,33.42184,545
104100,814,-111.94807,33.42184,1041
104101,814,-111.94807,33.42197,1041
54501,-1,-111.94811,33.42197,545
54502,-1,-111.94831,33.42194,545
277500,-1,-111.94932,33.42195,2775
54600,-1,-111.95496,33.42186,546
145901,-1,-111.95375,33.42186,1459
145902,-1,-111.95375,33.42198,1459
54601,-1,-111.95496,33.42199,546
54602,-1,-111.95523,33.42196,546
147100,-1,-111.95589,33.42195,1471
54700,430,-111.95214,33.41836,547
253900,1893,-111.95214,33.41837,2539
253901,1893,-111.95225,33.41837,2539
54701,430,-111.95225,33.41836,547
54702,430,-111.95228,33.41832,547
293800,2186,-111.95227,33.41683,2938
293801,2186,-111.95228,33.4169,2938
54703,430,-111.95228,33.41826,547
54704,430,-111.95225,33.41818,547
54900,432,-111.95225,33.41777,549
54901,432,-111.95214,33.41777,549
54705,430,-111.95214,33.41818,547
54802,431,-111.88873,33.40062,548
55000,433,-111.88736,33.40064,550
55001,433,-111.88736,33.4007,550
54803,431,-111.88874,33.40068,548
54804,431,-111.88891,33.40068,548
310600,2318,-111.88975,33.40133,3106
310601,2318,-111.88983,33.40133,3106
54805,431,-111.88891,33.40062,548
54902,432,-111.95211,33.41763,549
77500,599,-111.95013,33.41763,775
77501,599,-111.95013,33.41769,775
54903,432,-111.95211,33.4177,549
54904,432,-111.95225,33.41756,549
293802,2186,-111.95225,33.41698,2938
293803,2186,-111.95214,33.41698,2938
54905,432,-111.95214,33.41756,549
55002,433,-111.88719,33.40064,550
55100,434,-111.88631,33.40074,551
55101,434,-111.88636,33.40078,551
55003,433,-111.88719,33.4007,550
55004,433,-111.88724,33.40074,550
310602,2318,-111.8897,33.40143,3106
310603,2318,-111.8897,33.40137,3106
55005,433,-111.88732,33.40074,550
55102,434,-111.88623,33.40075,551
73000,564,-111.88601,33.40063,730
73001,564,-111.88597,33.40068,730
55103,434,-111.88619,33.4008,551
55104,434,-111.88621,33.40087,551
316302,2365,-111.88744,33.40381,3163
316303,2365,-111.88751,33.40379,3163
55105,434,-111.88628,33.40089,551
55200,435,-111.95225,33.41612,552
229902,1709,-111.95225,33.41602,2299
229903,1709,-111.95213,33.41602,2299
55201,435,-111.95214,33.41612,552
55202,435,-111.95228,33.41616,552
220700,1651,-111.95641,33.41618,2207
220701,1651,-111.95641,33.41611,2207
55203,435,-111.95228,33.4161,552
55204,435,-111.95214,33.41624,552
293804,2186,-111.95214,33.41676,2938
293805,2186,-111.95225,33.41676,2938
55205,435,-111.95225,33.41624,552
324100,2432,-111.89044,33.38563,3241
55504,437,-111.97292,33.38608,555
218800,1637,-111.97353,33.38639,2188
218801,1637,-111.97357,33.38633,2188
55505,437,-111.97296,33.38603,555
55600,438,-111.93056,33.43541,556
69100,541,-111.93008,33.4364,691
69101,541,-111.93011,33.43646,691
55601,438,-111.93063,33.43541,556
55900,441,-111.97816,33.38692,559
153300,1177,-111.97828,33.38692,1533
153301,1177,-111.97828,33.38686,1533
55901,441,-111.97815,33.38686,559
56000,442,-111.95195,33.38642,560
59500,472,-111.95222,33.38642,595
59501,472,-111.95222,33.38636,595
56001,442,-111.95195,33.38635,560
56102,443,-111.95223,33.40976,561
56700,449,-111.95223,33.40972,567
56701,449,-111.95212,33.40972,567
56103,443,-111.95212,33.40976,561
56104,443,-111.95212,33.40994,561
233502,1735,-111.95213,33.41231,2335
233503,1735,-111.95224,33.41232,2335
56105,443,-111.95223,33.40994,561
56300,445,-111.97539,33.39246,563
140200,1088,-111.97542,33.39269,1402
56400,446,-111.95276,33.38636,564
59502,472,-111.95239,33.38636,595
59503,472,-111.95239,33.38642,595
56401,446,-111.95276,33.38642,564
56500,447,-111.95209,33.40904,565
74000,572,-111.9501,33.40903,740
74001,572,-111.9501,33.40909,740
56501,447,-111.95208,33.4091,565
56502,447,-111.95223,33.40896,565
233300,-1,-111.95223,33.40879,2333
233301,-1,-111.95211,33.40879,2333
56503,447,-111.95211,33.40896,565
56504,447,-111.95211,33.40918,565
56702,449,-111.95212,33.40954,567
56703,449,-111.95223,33.40954,567
56505,447,-111.95223,33.40918,565
56602,448,-111.93963,33.40024,566
257902,1928,-111.93966,33.40189,2579
257903,1928,-111.93981,33.40189,2579
56603,448,-111.93978,33.40024,566
56604,448,-111.93978,33.39999,566
258102,1930,-111.93977,33.39945,2581
258103,1930,-111.93962,33.39946,2581
56605,448,-111.93963,33.39999,566
56606,448,-111.93957,33.40007,566
56802,450,-111.93765,33.40008,568
56803,450,-111.93765,33.40017,568
56607,448,-111.93957,33.40016,566
56704,449,-111.95226,33.40968,567
122600,968,-111.95306,33.4106,1226
122601,968,-111.95313,33.4106,1226
56705,449,-111.95226,33.40962,567
56804,450,-111.93739,33.40008,568
319402,-1,-111.93505,33.4001,3194
319403,-1,-111.93505,33.4002,3194
56805,450,-111.93739,33.40017,568
57003,-1,-111.98243,33.42177,570
250700,-1,-111.9851,33.41829,2507
250701,-1,-111.9851,33.41823,2507
57004,-1,-111.98235,33.42177,570
57005,-1,-111.98224,33.42184,570
179802,1380,-111.98147,33.42181,1798
57100,452,-111.93233,33.40014,571
57302,453,-111.93073,33.40015,573
57303,453,-111.93073,33.40025,573
57101,452,-111.93233,33.40024,571
57102,452,-111.93258,33.40023,571
319404,-1,-111.93479,33.4002,3194
319405,-1,-111.93479,33.40011,3194
57103,452,-111.93258,33.40014,571
57104,452,-111.93249,33.40012,571
152100,1167,-111.93205,33.39898,1521
152101,1167,-111.93199,33.39903,1521
57105,452,-111.93242,33.40012,571
57200,-1,-111.95221,33.40452,572
268500,-1,-111.95221,33.40386,2685
268501,-1,-111.9521,33.40386,2685
57201,-1,-111.95209,33.40452,572
57202,-1,-111.95206,33.4046,572
302602,2257,-111.94793,33.4046,3026
302603,2257,-111.94793,33.40466,3026
57203,-1,-111.95206,33.40466,572
57204,-1,-111.95209,33.40474,572
264002,-1,-111.95211,33.40729,2640
264003,-1,-111.95222,33.40729,2640
57205,-1,-111.95221,33.40474,572
57304,453,-111.93047,33.40016,573
57800,457,-111.92836,33.40017,578
57801,457,-111.92836,33.40026,578
57305,453,-111.93047,33.40025,573
57400,-1,-111.95206,33.40285,574
303700,2266,-111.94792,33.40283,3037
303701,2266,-111.94792,33.4029,3037
57401,-1,-111.95206,33.40291,574
57402,-1,-111.9522,33.40277,574
178500,-1,-111.9522,33.40023,1785
178501,-1,-111.95208,33.40023,1785
57403,-1,-111.95209,33.40277,574
57404,-1,-111.95209,33.40299,574
268502,-1,-111.9521,33.40364,2685
268503,-1,-111.95221,33.40364,2685
57405,-1,-111.9522,33.40299,574
57500,454,-111.90859,33.38167,575
206700,1537,-111.90861,33.38073,2067
206701,1537,-111.90853,33.38073,2067
57501,454,-111.90852,33.38167,575
57602,455,-111.92723,33.40018,576
57700,456,-111.92644,33.40018,577
57701,456,-111.92644,33.40028,577
57603,455,-111.92723,33.40027,576
57604,455,-111.92749,33.40027,576
57802,457,-111.9281,33.40027,578
57803,457,-111.9281,33.40017,578
57605,455,-111.92749,33.40018,576
57702,456,-111.92623,33.4002,577
274000,2047,-111.92495,33.40017,2740
57703,456,-111.92622,33.40037,577
317200,2373,-111.92621,33.40192,3172
317201,2373,-111.9264,33.40192,3172
57704,456,-111.9264,33.40038,577
57705,456,-111.92641,33.40009,577
316900,2370,-111.92641,33.39871,3169
316901,2370,-111.92622,33.39871,3169
57706,456,-111.92622,33.40009,577
57804,457,-111.92827,33.40015,578
173900,1341,-111.92777,33.39904,1739
173901,1341,-111.92772,33.39909,1739
57805,457,-111.92819,33.40015,578
57900,458,-111.98759,33.38099,579
312200,2332,-111.98755,33.38131,3122
312201,2332,-111.98763,33.38131,3122
57901,458,-111.98766,33.381,579
58002,459,-111.91045,33.40529,580
101904,798,-111.91128,33.40499,1019
101905,798,-111.91128,33.40492,1019
58003,459,-111.91038,33.40529,580
58004,459,-111.91034,33.40532,580
277902,2073,-111.9092,33.40533,2779
58100,460,-111.88281,33.37975,581
110700,864,-111.88313,33.37972,1107
110701,864,-111.88312,33.37966,1107
58101,460,-111.8828,33.37969,581
58102,460,-111.88276,33.37966,581
61100,480,-111.88499,33.3792,611
61101,480,-111.88504,33.37915,611
58103,460,-111.88268,33.37966,581
58104,460,-111.88263,33.37971,581
146400,1124,-111.88227,33.37975,1464
146401,1124,-111.88228,33.37982,1464
58105,460,-111.88264,33.37977,581
58200,-1,-111.95221,33.39651,582
205400,-1,-111.95811,33.39652,2054
205401,-1,-111.95811,33.39645,2054
58201,-1,-111.95221,33.39645,582
58202,-1,-111.95204,33.39645,582
304400,2273,-111.94792,33.39645,3044
304401,2273,-111.94792,33.39651,3044
58203,-1,-111.95204,33.39651,582
58204,-1,-111.95218,33.39637,582
173600,-1,-111.95216,33.39504,1736
173601,-1,-111.95205,33.39504,1736
58205,-1,-111.95207,33.39637,582
58206,-1,-111.95207,33.39659,582
178502,-1,-111.95208,33.40001,1785
178503,-1,-111.9522,33.40001,1785
58207,-1,-111.95218,33.39659,582
58300,461,-111.95207,33.39224,583
147900,1133,-111.95221,33.39096,1479
147901,1133,-111.9522,33.39102,1479
58301,461,-111.95207,33.39217,583
58302,461,-111.95204,33.3921,583
248300,-1,-111.95205,33.39177,2483
248301,-1,-111.95193,33.39176,2483
58303,461,-111.95193,33.3921,583
58304,461,-111.95192,33.39231,583
124602,-1,-111.95192,33.39274,1246
124603,-1,-111.95204,33.39274,1246
58305,461,-111.95204,33.39231,583
58400,462,-111.90499,33.40119,584
58500,463,-111.90498,33.40146,585
58501,463,-111.90506,33.40146,585
58401,462,-111.90507,33.40119,584
58402,462,-111.90494,33.40109,584
110902,866,-111.9042,33.4011,1109
110903,866,-111.9042,33.40116,1109
58403,462,-111.90494,33.40115,584
58404,462,-111.90512,33.40115,584
166902,1290,-111.90596,33.40133,1669
166903,1290,-111.90599,33.40127,1669
58405,462,-111.90512,33.40109,584
58600,464,-111.88524,33.37902,586
61102,480,-111.88511,33.37914,611
61103,480,-111.88517,33.37918,611
58601,464,-111.8853,33.37906,586
58702,-1,-111.9868,33.42127,587
250702,-1,-111.98523,33.41833,2507
250703,-1,-111.98515,33.41833,2507
58703,-1,-111.98679,33.42133,587
58704,-1,-111.98693,33.42124,587
168100,-1,-111.98696,33.41832,1681
168101,-1,-111.98688,33.41832,1681
58705,-1,-111.98686,33.42123,587
58804,465,-111.95249,33.38949,588
107904,839,-111.95239,33.39001,1079
107905,839,-111.9525,33.39003,1079
58805,465,-111.9526,33.38949,588
58806,465,-111.95264,33.38941,588
174802,1348,-111.95694,33.38887,1748
174803,1348,-111.95694,33.3888,1748
58807,465,-111.95264,33.38935,588
58900,466,-111.89041,33.37973,589
59000,467,-111.89156,33.38023,590
59001,467,-111.89159,33.38017,590
58901,466,-111.89045,33.37967,589
58902,466,-111.89048,33.37957,589
170702,1320,-111.89061,33.37867,1707
170703,1320,-111.89046,33.37867,1707
58903,466,-111.89034,33.37952,589
58904,466,-111.89027,33.3797,589
130602,1014,-111.89005,33.37995,1306
130603,1014,-111.89011,33.37999,1306
58905,466,-111.89033,33.37974,589
59100,468,-111.98867,33.38174,591
241502,1798,-111.98867,33.38145,2415
241503,1798,-111.98859,33.38145,2415
59101,468,-111.98859,33.38174,591
59204,469,-111.95242,33.38779,592
59400,471,-111.95237,33.38728,594
59401,471,-111.95226,33.38729,594
59205,469,-111.95231,33.38781,592
59206,469,-111.95231,33.38788,592
105002,820,-111.94896,33.3877,1050
105003,820,-111.94896,33.38776,1050
59207,469,-111.95231,33.38794,592
59300,470,-111.9799,33.4086,593
275100,2055,-111.98015,33.4086,2751
275101,2055,-111.98015,33.40854,2751
59301,470,-111.9799,33.40854,593
59402,471,-111.95236,33.38707,594
59504,472,-111.95236,33.3865,595
59505,472,-111.95225,33.3865,595
59403,471,-111.95225,33.38707,594
59404,471,-111.95239,33.38721,594
119402,940,-111.95393,33.38697,1194
119403,940,-111.9539,33.38691,1194
59405,471,-111.95239,33.38714,594
59406,471,-111.95222,33.38714,594
75502,583,-111.95095,33.38702,755
75503,583,-111.95094,33.38709,755
59407,471,-111.95222,33.38721,594
59506,472,-111.95236,33.38628,595
150202,-1,-111.95242,33.38371,1502
150203,-1,-111.9523,33.3837,1502
59507,472,-111.95225,33.38628,595
59600,473,-111.90855,33.38303,596
290500,2156,-111.90859,33.38282,2905
290501,2156,-111.90851,33.38282,2905
59601,473,-111.90848,33.38301,596
59700,474,-111.90852,33.38249,597
290502,2156,-111.90852,33.38267,2905
290503,2156,-111.90859,33.38268,2905
59701,474,-111.90859,33.38249,597
59800,475,-111.95248,33.38325,598
120500,950,-111.95396,33.38362,1205
120501,950,-111.954,33.38357,1205
59801,475,-111.95248,33.38319,598
59802,475,-111.95245,33.38311,598
65202,510,-111.95249,33.38107,652
65203,510,-111.95238,33.38107,652
59803,475,-111.95234,33.38311,598
59804,475,-111.95233,33.38332,598
150204,-1,-111.95231,33.38349,1502
150205,-1,-111.95243,33.38349,1502
59805,475,-111.95244,33.38333,598
59900,476,-111.9075,33.38805,599
238600,1774,-111.9075,33.3887,2386
238601,1774,-111.90758,33.38871,2386
59901,476,-111.90757,33.38804,599
59902,476,-111.90755,33.3879,599
97800,763,-111.90706,33.38709,978
97801,763,-111.90701,33.38713,978
59903,476,-111.90747,33.38791,599
59904,476,-111.90744,33.38795,599
115000,905,-111.90494,33.38812,1150
115001,905,-111.90493,33.38818,1150
59905,476,-111.90745,33.38801,599
60000,-1,-111.97116,33.40774,600
60100,477,-111.90983,33.39679,601
287800,2133,-111.91023,33.39676,2878
287801,2133,-111.91023,33.3967,2878
60101,477,-111.9098,33.39673,601
60200,-1,-111.93082,33.43978,602
276500,2066,-111.93079,33.43968,2765
276501,2066,-111.93071,33.4397,2765
60201,-1,-111.93075,33.4398,602
60202,-1,-111.93076,33.43992,602
86200,-1,-111.93078,33.4401,862
62500,-1,-111.96332,33.3782,625
60500,-1,-111.9634,33.37827,605
60401,-1,-111.96835,33.40405,604
107400,-1,-111.96761,33.3995,1074
60501,-1,-111.96341,33.37834,605
249600,-1,-111.9644,33.37834,2496
60502,-1,-111.96321,33.37834,605
60700,-1,-111.96321,33.37834,607
60601,-1,-111.95442,33.44115,606
31703,-1,-111.95457,33.44093,317
60602,-1,-111.95421,33.44121,606
164200,-1,-111.9531,33.44381,1642
164201,-1,-111.95318,33.44383,1642
